Name,Description,Code,Audit Examiner,Audit Supervisor,Claims Adjuster,Community Admin,Forms Admin,Integration Admin,Loss Control,Premium Auditor,Processor,Producer,Producer Clerical,Producer Code - Basics,Producer Code - Cancellations,Producer Code - Policy Changes,Producer Code - Renewals,Producer Code - Submissions,Rating Analyst,Rating Supervisor,Reinsurance Admin,Reinsurance Manager,Reporting Admin,Rule Admin,Superuser,Tools View,Underwriter,Underwriter Assistant,Underwriting Supervisor,User Admin
View policy change wizard documents,Permission to view the policy change wizard documents page,pchgwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard history,Permission to view the policy change history page,pchgwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard notes,Permission to view the policy change wizard notes page,pchgwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard prior history,Permission to view the policy change wizard prior history page,pchgwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard rating inputs,Permission to view the policy change wizard rating inputs page,pchgwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard risk analysis,Permission to view the policy change wizard risk analysis page,pchgwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard risk history,Permission to view the policy change wizard risk history page,pchgwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard job roles,Permission to view the policy change wizard job roles page,pchgwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard workplan,Permission to view the policy change wizard workplan page,pchgwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file billing,Permission to view the policy file billing page,pfilebilling,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file claims,Permission to view the policy file claims page,pfileclaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file contacts,Permission to view the policy file contacts page,pfilecontacts,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file details,Permission to view the policy file details page,pfiledetails,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file documents,Permission to view the policy file documents page,pfiledocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file notes,Permission to view the policy file notes page,pfilenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file payments,Permission to view the policy file payments page,pfilepayments,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file pricing,Permission to view the policy file pricing page,pfilepricing,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file prior history,Permission to view the policy file prior history page,pfilepriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file rating inputs,Permission to view the policy file rating inputs page,pfilerateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file risk evaluation,Permission to view the policy file risk evaluation page,pfileriskeval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file participants,Permission to view the policy file partipants page page,pfileroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file summary,Permission to view the policy file summary page,pfilesummary,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file work orders,Permission to view the policy file work orders page,pfileworkorders,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Create policy hold,Permission to create policy holds,polholdcreate,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Edit policy hold,Permission to edit policy holds,polholdedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Delete policy hold,Permission to delete policy holds,polholdelete,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
View policy hold,Permission to view the list of policy holds or policy hold details,polholdview,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Manually price policy,Permission to manually price a policy,price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create producer code,Permission to create a producer code.,prodcodecreate,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Delete producer code,Permission to delete a producer code.,prodcodedelete,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit producer code address,Permission to edit a producer code's address.,prodcodeeditaddr,,,,x,,,,,,,,,,,,,,,,,,,x,,x,x,x,x
Edit producer code basic info,Permission to edit a producer code's basic info.,prodcodeeditbasic,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit producer code preferred underwriter,Permission to edit a producer code's preferred underwriter.,prodcodeeditprefuw,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
View producer code basic info,Permission to view a producer code's basic info.,prodcodeviewbasic,x,x,,x,,,,x,,,,,,,,,,,,,,,x,,x,x,x,x
View producer code preferred underwriter,Permission to view a producer code's preferred underwriter.,prodcodeviewprefuw,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Purge objects,Permission to purge objects from the database,purge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disable purging for a policy period,Permission to disable purging,purgedisable,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Enable purging for a policy period,Permission to enable purging,purgeenable,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Quote,Permission to request a quote for a policy,quote,x,x,,,,,,x,,x,,,x,x,x,x,,,,,,,x,,x,x,x,
Quote Hide Override,Permission to override the quote hide,quotehideoverride,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Approve rate books and tables,Permission to approve and activate rate books.,ratebookapprove,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,
Edit rate books and tables,Permission to add and edit rate books and tables.,ratebookedit,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,
View rate books and tables,Permission to view rate books and tables.,ratebookview,,,,,,,,,,,,,,,,,x,x,,,,,x,,x,,x,
Rate policies for rate impact testing,Permission to rate policies for rate impact testing,rateimpacttesting,,x,,,,,,,,,,,,,,,x,,,,,,x,,,,,
View rating worksheet,Permission to view rating worksheets.,ratingworksheetview,x,x,,,,,,x,,,,,,,,,x,x,,,,,x,,x,x,x,
Manage regions,"Permission to create, edit, and delete regions",regionmanage,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
View regions,Permission to view the list of regions and region details,regionview,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
View reinstatement wizard documents,Permission to view the reinstatement wizard documents page,reinwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard history,Permission to view the reinstatement history page,reinwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard notes,Permission to view the reinstatement wizard notes page,reinwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard prior history,Permission to view the reinstatement wizard prior history page,reinwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard rating inputs,Permission to view the reinstatement wizard rating inputs page,reinwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard risk analysis,Permission to view the reinstatement wizard risk analysis page,reinwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard risk history,Permission to view the reinstatement wizard risk history page,reinwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard job roles,Permission to view the reinstatement wizard job roles page,reinwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View reinstatement wizard workplan,Permission to view the reinstatement wizard workplan page,reinwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View Report tab,"Permission to view the Report tab, if the add-on reporting module is installed",reporting_view,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Reschedule audit,Permission to change the dates of an audit,rescheduleaudit,x,x,,,,,,x,,,,,,,,,,,,,,,x,,,,x,
Reset Quoting Lock,Permission to reset the commit lock of a Quoting Policy,resetquotinglock,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Retrieve from archive,Permission to retrieve a policy period from the archive.,restorefromarchive,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,x
Resync message,Permission to resync message,resyncmessage,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Retry message,Permission to try to resend the failed message,retrymessage,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
Reverse audit,Permission to manually reverse an audit,reverseaudit,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,
Review cancellation,Permission to review a cancellation,reviewcancellation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review policy change,Permission to review a policy change,reviewpolchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review reinstatement,Permission to review a reinstatement,reviewreinstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review renewal,Permission to review a renewal,reviewrenewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve rewrite,Permission to approve rewrite,reviewrewrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve rewrite new account,Permission to approve rewrite new account,reviewrewrnewacct,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Review submission,Permission to edit a submission that is in review state,reviewsubmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise audit,Revise audit,reviseaudit,x,x,,,,,,x,,,,,,,,,,,,,,,x,,,,,
View rewrite wizard documents,Permission to view the rewrite wizard documents page,rewrwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard history,Permission to view the rewrite wizard history page,rewrwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard notes,Permission to view the rewrite wizard notes page,rewrwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard prior history,Permission to view the rewrite wizard prior history page,rewrwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard rating inputs,Permission to view the rewrite wizard rating inputs page,rewrwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard risk analysis,Permission to view the rewrite wizard risk analysis page,rewrwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard risk history,Permission to view the rewrite wizard risk history page,rewrwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard job roles,Permission to view the rewrite wizard job roles page,rewrwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View rewrite wizard workplan,Permission to view the rewrite wizard workplan page,rewrwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard documents,Permission to view the renewal wizard documents page,rnwlwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard history,Permission to view the renewal history page,rnwlwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard notes,Permission to view the renewal wizard notes page,rnwlwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard prior history,Permission to view the renewal wizard prior history page,rnwlwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard rating inputs,Permission to view the renewal wizard rating inputs page,rnwlwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard risk analysis,Permission to view the renewal wizard risk analysis page,rnwlwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard risk history,Permission to view the renewal wizard risk history page,rnwlwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard job roles,Permission to view the renewal wizard job roles page,rnwlwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View renewal wizard workplan,Permission to view the renewal wizard workplan page,rnwlwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit role type,"Permission to edit the role type (internal, external)",roleedittype,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Manage roles,"Permission to create, edit, or delete roles",rolemanage,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
View roles,Permission to view the list of roles and role details,roleview,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Administer rules,Permission to run Guidewire Studio or import rules,ruleadmin,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,
Manage script parameters,"Permission to create, edit, or delete script parameters",scrprmmanage,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View script parameters,Permission to view the list of script parameters or details of an individual script parameter,scrprmview,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Search accounts,Permission to search accounts,searchaccounts,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Search activities,Permission to search activities,searchactivities,x,x,,,,x,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Search related contacts,Permission to search contacts related to the user,searchcontacts,x,x,,,,,,x,,x,,,,,,,,,,,,,x,,x,x,x,
Search related policies,Permission to search active/in-force policies related to the user,searchpols,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Search producer codes,Permission to search producer codes,searchprodcodes,x,x,,x,,,,x,,,,,,,,,,,,,,,x,,x,x,x,x
Manage security zones,"Permission to create, edit, and delete security zones",seczonemanage,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Select non-renew as a pre-renewal direction,Permission to select non-renew as a pre-renewal direction,selectnonrenew,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Send Email,Permission to create and send email,sendemail,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Skip message,Permission to skip the failed message,skipmessage,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
SOAP administration,Permission to use the SOAP APIs,soapadmin,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
Split or Spin Policies,Permission to divide (split or spin) policies into other submissions,splitpolicy,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
Start audit job,Permission to start an audit,startaudit,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,
View submission wizard documents,Permission to view the submission wizard documents page,subwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard history,Permission to view the submission wizard history page,subwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard notes,Permission to view the submission wizard notes page,subwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard prior history,Permission to view the submission wizard prior history page,subwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard rating inputs,Permission to view the submission wizard rating inputs page,subwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard risk analysis,Permission to view the submission wizard risk analysis page,subwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard risk history,Permission to view the submission wizard risk history page,subwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard job roles,Permission to view the submission wizard job roles page,subwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission wizard workplan,Permission to view the submission wizard workplan page,subwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit BatchProcess tools page,Permission to edit the BatchProcess Internal Tools page,toolsBatchProcessedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View BatchProcess tools page,Permission to access the BatchProcess Internal Tools page,toolsBatchProcessview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
View Cache Info page,Permission to view the CacheInfo Internal Tools page,toolsCacheinfoview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Edit Cluster tools page,Permission to edit the Cluster Internal Tools page,toolsClusteredit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View Cluster tools page,Permission to access the Cluster Internal Tools page,toolsClusterview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
View Info tools page,Permission to access the Info Internal Tools page,toolsInfoview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Edit ManagementBeans tools page,Permission to edit the ManagementBeans presented on Internal Tools page,toolsJMXBeansEdit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View ManagementBeans tools page,Permission to access the ManagementBeans Internal Tools page,toolsJMXBeansview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Edit JProfiler tools page,Permission to edit the JProfiler Internal Tools page,toolsJProfileredit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Edit Log tools page,Permission to edit the Log Internal Tools page,toolsLogedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View Log tools page,Permission to access the Log Internal Tools page,toolsLogview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Edit StartablePlugin tools page,Permission to edit the StartablePlugin Internal Tools page,toolsPluginedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View StartablePlugin tools page,Permission to access the StartablePlugin Internal Tools page,toolsPluginview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
View ProductModelInfo tools page,Permission to access the ProductModelInfo page in ServerTools,toolsProductModelInfoview,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Edit Profiler tools page,Permission to edit the Profiler Internal Tools page,toolsProfileredit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View Profiler tools page,Permission to access the Profiler Internal Tools page,toolsProfilerview,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Edit WorkQueue tools page,Permission to edit the WorkQueue Internal Tools page,toolsWorkQueueedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View WorkQueue tools page,Permission to access the WorkQueue Internal Tools page,toolsWorkQueueview,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Create users,Permission to create a new user,usercreate,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Delete users,Permission to delete a user (Note: if a user has had any activity it's recommended to make them non-active rather than delete),userdelete,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Edit users,"Permission to edit an existing user, except for roles, authority limits, or attributes",useredit,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Edit user attributes,Permission to edit attributes for a user,usereditattrs,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Edit user language,Permission to edit language,usereditlang,x,x,,x,,x,,x,,x,,,,,,,x,x,,,,,x,,x,x,x,x
Edit user producer code security flag,Permission to edit whether the user uses producer code security,usereditpcsec,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit user internal,Permission to edit the whether the user is internal or external,useredittype,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Grant authority limits,Permission to grant or change an authority limit for a user,usergrantauth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant roles to users,Permission to grant or revoke roles,usergrantroles,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Reassign roles bulk,Permission to reassign bulk role assignments on jobs or policies.,userroleassignmentbulkassign,,x,,x,,,,,,,,,,,,,,,,,,,x,,x,,x,x
View user,Permission to view details of a user,userview,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
View all users,Permission to see users in all visible groups,userviewall,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Approve all UW Issues,Permission to approve UW Issues even without an authority grant,uwapproveall,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Edit underwriting companies,Permission to edit the underwriting companies page,uwedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Reject UW Issues,Permission to mark UW Issues as Rejected,uwreject,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Reopen UW Issues,Permission to mark Rejected or Approved UW Issues as Repoened,uwreopen,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
View underwriting companies,Permission to view the underwriting companies page,uwview,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View account,Permission to view accounts,viewaccount,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Account Holder Info,Permission to navigate to and view Account Holder Info page under contacts,viewaccountholderinfo,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View activity calendar,Permission to view activity calendar of other users,viewactcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View audit,Permission to view an audit,viewaudit,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View billing system,Permission to see the hyperlink to billing system,viewbillingsystem,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,x,
View cancellation,Permission to view cancellations,viewcancellation,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View claim system,Permission to see the hyperlink to claim system,viewclaimsystem,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,x,
View desktop,Permission to view the Desktop,viewdesktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View History,Permission to view the history page,viewhist,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View internal docs,Permission to view an internal doc,viewintdoc,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View internal notes,Permission to view an internal note,viewintnote,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View issuance,Permission to view issuance,viewissuance,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View Modifiers,Permission to view modifiers page,viewmodifiers,x,x,x,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View my accounts,Permission to view My Accounts page,viewmyaccounts,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,
View my activities,Permission to view My Activities page,viewmyactivities,x,x,,x,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,x
View my policy changes,Permission to view My Policy Changes page,viewmypolicychanges,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View my queues,Permission to view My Queues page,viewmyqueues,x,x,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
View my renewals,Permission to view My Renewals page,viewmyrenewals,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
View my submissions,Permission to view My Submissions page,viewmysubmissions,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
View Participants,Permission to view participant page,viewparticipants,x,x,x,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View policy change,Permission to view policy changes,viewpolchange,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file,Permission to view policy files,viewpolicyfile,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View pre-renewal,Permission to view pre-renewal,viewprerenewal,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View producer style desktop details,Permission to view desktop details appropriate for a producer.,viewproducerstyledesktopdetails,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,
View rate and premium overrides,Permission to view the premium overrides screens and any field that is used to set a discretionary rate or premium.,viewratingoverrides,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,,x,
View reinstatement,Permission to view reinstatement,viewreinstate,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View RI policies,Permission to view reinsurance for policies,viewreinsuranceforpolicy,,,,,,,,,,,,,,,,,,,x,x,,,x,,x,x,x,
View RI programs,Permission to view reinsurance programs,viewreinsuranceprogram,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,
View renewal,Permission to view renewals,viewrenewal,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View restricted claim,Permission to see the hyperlink to restricted claim in claim system,viewrestrictedclaim,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
View rewrite,Permission to view rewrite,viewrewrite,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View rewrite new account,Permission to view rewrite new account,viewrewrnewacct,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View risk analysis claims,Permission to view claims,viewriskclaims,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View risk analysis UW issues,Permission to view UW issues,viewriskevalissues,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View risk analysis prior losses,Permission to view prior losses,viewriskpriorlosses,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View risk analysis prior policies,Permission to view prior policies,viewriskpriorpolicies,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View risk analysis referral reasons,Permission to view referral reasons,viewriskrefreasons,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View search tab,Permission to view the Search tab,viewsearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View sensitive docs,Permission to view a sensitive doc,viewsensdoc,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
View sensitive notes,Permission to view a sensitive note,viewsensnote,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
View stat reports,View stat report pages,viewstatrep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View submission,Permission to view a submission,viewsubmission,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View team,Permission to view the Team tab,viewteam,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,x,x
View global workload,Permission to view global workload statistics of other users,viewworkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View Workplan,Permission to view workplan page,viewworkplan,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Waive audit,Permission to waive an audit,waiveaudit,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,
Withdraw,Permission to withdraw a policy,withdraw,x,x,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
Manage workflow,Permission to view the ManageWorkflow page,workflowmanage,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View workflow,Permission to view the Workflow page,workflowview,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Add Data Change,Permission to add a data change gosu program.,wsdatachangeedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Manage admin zones,"Permission to create, edit, or delete admin zones",zonemanage,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View admin zones,Permission to view the list of admin zones,zoneview,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
